2024-08-07 16:39:38 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /help from 1196376478
2024-08-07 16:39:46 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1196376478
2024-08-07 16:39:54 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:39:59 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 1196376478
2024-08-07 16:40:49 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /stop from 1196376478
2024-08-07 16:42:01 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5841323814
2024-08-07 16:47:15 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /help from 1196376478
2024-08-07 16:47:39 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 1196376478
2024-08-07 16:47:46 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:47:47 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:47:57 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:47:59 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:48:32 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 6406975999
2024-08-07 16:48:55 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /next from 1196376478
2024-08-07 16:49:04 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:49:07 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:49:12 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:49:18 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:49:23 DEBUG MessageConsumerServiceImpl:32 - -=-=-| Received command-message: /search from 5841323814
2024-08-07 16:49:26 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:49:29 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:49:34 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:49:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:49:40 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:50:03 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:50:13 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:50:23 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:50:26 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:50:29 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:50:31 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:50:36 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:50:39 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:50:39 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:50:46 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:50:54 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:50:59 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:51:02 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:51:05 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:51:06 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:51:10 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:51:43 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
2024-08-07 16:51:54 DEBUG MessageConsumerServiceImpl:26 - -=-=-| Received text-message
